,title,media,time,host
57,"김희철X이수근 &#39;우주 쪼꼬미&#39;, 신곡 &#39;하얀 겨울&#39; 15일 공개",한국경제,4일 전,네이버뉴스
58,"김희철X이수근 ‘우주 쪼꼬미’, 신곡 ‘하얀 겨울’ 15일 발매",MBN,4일 전,네이버뉴스
59,"김희철X이수근 프로젝트 우주 쪼꼬미, 신곡 &#39;하얀 겨울&#39; 뮤비에 ITZY 깜짝출연",enews24,4일 전,네이버뉴스
60,"김희철 X 이수근 &#39;우주 쪼꼬미&#39;, 15일 신곡 &#39;하얀 겨울&#39; 발매",더셀럽,4일 전,
61,"김희철X이수근, 신곡 &#39;하얀 겨울&#39;로 컬래버…15일 공개",뉴스1,4일 전,네이버뉴스
62,"김희철X이수근 &#39;우주쪼꼬미&#39;, 있지(ITZY) 컬래버 &#39;하얀 겨울&#39; 15일 공개",싱글리스트,4일 전,
63,"김희철X이수근 ‘우주 쪼꼬미’, ‘하얀 겨울’ 15일 공개…있지 깜짝 출연",스포츠동아,4일 전,네이버뉴스
64,"김희철·이수근 프로젝트 그룹 &#39;우주 쪼꼬미&#39;, 15일 신곡 &#39;하얀 겨울&#39; 공개",웹데일리,4일 전,
65,"김희철X이수근, &#39;우주 쪼꼬미&#39;로 15일 신곡 발표…ITZY 뮤직비디오 출격",조이뉴스24,4일 전,
66,"김희철x이수근 우주쪼꼬미, 신곡 &#39;하얀 겨울&#39;에 JYP 있지 지원사격",스포츠투데이,4일 전,
67,"김희철X이수근, ‘하얀 겨울’ 리메이크…뮤비 속 ITZY 지원사격",한국일보,4일 전,네이버뉴스
68,"‘우주 쪼꼬미’ 김희철X이수근, 15일 신곡 ‘하얀 겨울’ 공개",텐아시아,4일 전,네이버뉴스
69,"김희철X이수근, 우주쪼꼬미로 뭉쳤다…ITZY, 지원사격",스포티비뉴스,4일 전,네이버뉴스
70,"[공식] 김희철X이수근 &#39;우주쪼꼬미&#39;, 15일 &#39;하얀겨울&#39; 공개…ITZY 지원사격",스포츠조선,4일 전,네이버뉴스
71,"우주 쪼꼬미 김희철X이수근, &#39;하얀 겨울&#39; 15일 공개..MV 속 ITZY &#39;깜짝&#39;",헤럴드POP,4일 전,네이버뉴스
72,‘하얀 겨울’ 리메이크한 김희철x이수근...ITZY가 여기 왜 나와?,bnt뉴스,4일 전,
73,"김희철X이수근 ‘우주 쪼꼬미’, 15일 신곡 ‘하얀 겨울’ 발매..ITZY MV 깜짝 출연",OSEN,4일 전,네이버뉴스
74,"&#39;김희철X이수근&#39; 우주 쪼꼬미, 신곡 ‘하얀 겨울’ 15일 공개",엑스포츠뉴스,4일 전,네이버뉴스
75,"김희철X이수근 &#39;우주쪼꼬미&#39; 결성, MV엔 ITZY",뉴스컬처,4일 전,
76,김희철X이수근 ‘우주 쪼꼬미’ 신곡 ‘하얀 겨울’ 15일 공개,뉴스엔,4일 전,네이버뉴스
77,"김희철X이수근 조합 &#39;우주 쪼꼬미&#39;, 15일 신곡 &#39;하얀 겨울&#39; 공개",스포츠조선,4일 전,네이버뉴스
78,"김희철X이수근 우주 쪼꼬미, 신곡 ‘하얀 겨울’ 15일 공개",한국경제TV,4일 전,네이버뉴스
